Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_snake_plant,,"Quiet by day, a rooftop guardian that makes oxygen at night.",昼は静か、夜は酸素を生み出す屋上の番人。,白天安静，夜里产氧的屋顶守卫。,白天安靜，夜裡產氧的屋頂守衛。,Calme le jour. Gardien du toit qui produit de l'oxygène la nuit.,Tagsüber still. Dachwächter der nachts Sauerstoff erzeugt.,Silenziosa di giorno. Guardiana del tetto che di notte produce ossigeno.,Calma de dia. Guardiã do telhado que produz oxigênio à noite.,Callada de día. Guardiana del tejado que produce oxígeno por la noche.,낮에는 조용하다. 밤에 산소를 만드는 옥상의 수호자.,Днём тихая. Ночной страж крыши который делает кислород.
desc_monstera,,The holes in the leaves are by design. Definitely not an accident.,葉っぱに穴が空いてるのはデザイン。決して事故じゃない。,叶子上的洞是设计。绝对不是意外。,葉子上的洞是設計。絕對不是意外。,Les trous des feuilles sont un choix. Pas un accident.,Die Löcher der Blätter sind Absicht. Kein Unfall.,I buchi nelle foglie sono voluti. Non è un incidente.,Os furos nas folhas são de propósito. Não foi acidente.,Los agujeros de las hojas son a propósito. No es un accidente.,잎의 구멍은 디자인이다. 사고가 아니다.,Дыры в листьях сделаны намеренно. Это не случайность.
desc_pachira,,"Placed for good luck with money, but the effect is unknown.",金運アップを信じて置かれたけど、効果は未知数。,为了招财摆着，但效果未知。,為了招財擺著，但效果未知。,Placée pour attirer la chance d'argent. L'effet reste inconnu.,Für Geldglück aufgestellt. Die Wirkung ist unbekannt.,Messa per attirare fortuna di denaro. L'effetto è ignoto.,Colocada para dar sorte com dinheiro. O efeito é desconhecido.,Puesta para atraer suerte con el dinero. El efecto es desconocido.,금운을 믿고 두었지만 효과는 미지수.,Поставлена ради денежной удачи. Эффект неизвестен.
desc_areca_palm,,The rooftop resort rep. Sways in the wind and makes it feel tropical.,屋上のリゾート担当。風に揺れて勝手に南国気分。,屋顶度假区担当。随风摇曳，自带热带氛围。,屋頂度假區擔當。隨風搖曳，自帶熱帶氛圍。,Responsable du resort du toit. Se balance au vent et fait tropical.,Resortbeauftragte des Dachs. Schwingt im Wind und wirkt tropisch.,Responsabile del resort sul tetto. Onde al vento e fa atmosfera tropicale.,Responsável do resort do telhado. Balança ao vento e deixa clima tropical.,Encargada del resort del tejado. Se mece con el viento y da aire tropical.,옥상 리조트 담당. 바람에 흔들려 남국 기분을 만든다.,Ответственная за курорт на крыше. Качается на ветру и дарит тропики.
desc_yucca,,Not as young as the name suggests. Still doing its best.,名前のわりにあまり若くない。頑張ってる。,名字听着很年轻，其实不太年轻。还在努力。,名字聽起來很年輕，其實不太年輕。還在努力。,Pas si jeune que son nom. Elle fait de son mieux.,Nicht so jung wie der Name sagt. Gibt trotzdem ihr Bestes.,Non è giovane come il nome. Fa del suo meglio.,Não é tão jovem quanto o nome. Ainda se esforça.,No es tan joven como el nombre. Aun así se esfuerza.,이름만큼 젊지 않다. 그래도 최선을 다한다.,Не такая молодая как имя. Всё равно старается.
desc_marigold,,Small but full of energy. A hero fighting weeds.,小さいけど元気いっぱい。雑草と戦う勇者。,小小个却元气满满。和杂草战斗的勇者。,小小個卻元氣滿滿。和雜草戰鬥的勇者。,Petite mais pleine d'énergie. Héros contre les mauvaises herbes.,Klein aber voller Energie. Held gegen Unkraut.,Piccola ma piena di energia. Eroe contro le erbacce.,Pequena mas cheia de energia. Herói contra as ervas daninhas.,Pequeña pero llena de energía. Heroína contra las malas hierbas.,작지만 에너지 넘친다. 잡초와 싸우는 영웅.,Маленькая но полна энергии. Герой против сорняков.
desc_pansy,,Looks cute but is surprisingly tough against the cold.,見た目は可愛いけど、意外と寒さに強いタフガール。,看着可爱，却意外耐寒的硬气姑娘。,看著可愛，卻意外耐寒的硬氣姑娘。,Mignonne mais étonnamment résistante au froid.,Sieht süß aus ist aber überraschend kältehart.,Carina ma sorprendentemente resistente al freddo.,Fofa mas surpreendentemente resistente ao frio.,Linda pero sorprendentemente resistente al frío.,귀엽지만 의외로 추위에 강한 터프함.,Милая но удивительно стойкая к холоду.
desc_hyacinth,,The star only at bloom time. Quickly falls and becomes a legend.,咲いた瞬間だけ主役。すぐ散って伝説になるタイプ。,盛开那一瞬是主角，很快凋谢成传奇。,盛開那一瞬是主角，很快凋謝成傳奇。,Star seulement à la floraison. Tombe vite et devient légende.,Nur zur Blüte der Star. Verblüht schnell und wird zur Legende.,È protagonista solo in fiore. Appassisce presto e diventa leggenda.,É estrela só na floração. Logo cai e vira lenda.,Es protagonista solo al florecer. Pronto cae y se vuelve leyenda.,피는 순간만 주역. 곧 시들어 전설이 된다.,Звезда только во время цветения. Быстро увядает и становится легендой.
desc_daffodil,,Confident just by the name. The flowerbed narcissist.,名前からして自信満々。花壇のナルシスト。,名字都透着自信。花坛里的自恋者。,名字都透著自信。花壇裡的自戀者。,Rien que le nom respire la confiance. Narcisse du parterre.,Schon der Name wirkt selbstsicher. Narzisst des Beets.,Il nome è pieno di fiducia. Narcisista dell'aiuola.,Só o nome já é confiança. Narcisista do canteiro.,Solo el nombre ya es confianza. Narcisista del parterre.,이름부터 자신만만. 화단의 나르시스.,Уже одно имя полно уверенности. Нарцисс клумбы.
desc_tulip,,Likes to bloom in lines. A group-action type.,並んで咲くのが好き。集団行動タイプ。,喜欢排队开花，集体行动派。,喜歡排隊開花，集體行動派。,Aime fleurir en rangs. Type esprit de groupe.,Blüht gern in Reihen. Typ für Gruppenaktionen.,Ama fiorire in fila. Tipo da azione di gruppo.,Gosta de florescer em fila. Tipo de ação em grupo.,Le gusta florecer en fila. Tipo de acción en grupo.,줄지어 피는 걸 좋아한다. 집단 행동형.,Любит цвести рядами. Коллективный тип.
desc_gerbera,,Bright smile and rooftop mood maker.,明るい笑顔で屋上のムードメーカー。,笑容明亮的屋顶气氛担当。,笑容明亮的屋頂氣氛擔當。,Sourire lumineux et faiseur d'ambiance du toit.,Helles Lächeln und Stimmungsmacher des Dachs.,Sorriso luminoso e creatore d'atmosfera sul tetto.,Sorriso brilhante e criador do clima do telhado.,Sonrisa brillante y animador del ambiente del tejado.,밝은 미소로 옥상 분위기 메이커.,Яркая улыбка и создатель атмосферы на крыше.
desc_dahlia,,Glamorous and wants attention. Number one in photos.,華やかで目立ちたがり。写真に写る率ナンバーワン。,华丽又爱出风头。上镜率第一。,華麗又愛出風頭。上鏡率第一。,Glamour et envie d'être vue. Numéro un sur les photos.,Glamourös und will auffallen. Nummer eins auf Fotos.,Sfarzosa e vuole attenzione. Numero uno nelle foto.,Glamurosa e quer atenção. Número um nas fotos.,Glamorosa y busca atención. Número uno en fotos.,화려하고 눈에 띄고 싶어한다. 사진 1등.,Пышная и любит внимание. Номер один на фото.
desc_poinsettia,,Still working hard even after Christmas is over.,クリスマスが終わってもまだ頑張ってる。,圣诞过了还在努力。,聖誕過了還在努力。,Travaille encore après Noël.,Arbeitet weiter auch nach Weihnachten.,Lavora ancora dopo Natale.,Ainda trabalha depois do Natal.,Sigue trabajando después de Navidad.,크리스마스가 끝나도 아직 열심.,Работает даже после Рождества.
desc_cyclamen,,A tough one that won't lose to cold. Surprisingly long-lived.,寒さに負けない根性派。意外と長生き。,不怕冷的硬派，意外长寿。,不怕冷的硬派，意外長壽。,Dure à cuire face au froid. Étonnamment longue vie.,Zäh gegen Kälte. Überraschend langlebig.,Tenace contro il freddo. Sorprendentemente longeva.,Resistente ao frio. Surpreendentemente duradoura.,Dura frente al frío. Sorprendentemente longeva.,추위에 강한 근성파. 의외로 오래 산다.,Стойкая к холоду. Удивительно долгоживущая.
desc_salvia,,More passionate than it looks. The rooftop red flame.,見た目より情熱的。屋上のレッドフレイム。,看着冷静其实很热情。屋顶的红色火焰。,看著冷靜其實很熱情。屋頂的紅色火焰。,Plus passionnée qu'elle ne paraît. Flamme rouge du toit.,Leidenschaftlicher als sie aussieht. Rote Flamme des Dachs.,Più passionata di quanto sembri. Fiamma rossa del tetto.,Mais apaixonada do que parece. Chama vermelha do telhado.,Más apasionada de lo que parece. Llama roja del tejado.,겉보기보다 뜨겁다. 옥상의 붉은 불꽃.,Страстнее чем кажется. Красное пламя крыши.
,,,,,,,,,,,,
